Complain,Point Earned,IsActiveMember,NumOfProducts,Balance,Age,Gender,HasCrCard,Churn
1,464,1,0.0,0.0,0.35820895522388063,0,1,1
0,350,0,0.3333333333333333,0.0,0.31343283582089554,0,0,0
0,425,1,0.0,0.5855498020592408,0.3731343283582089,0,1,0
1,484,0,0.3333333333333333,0.5307086230660795,0.3880597014925373,1,1,1
0,206,1,0.3333333333333333,0.0,0.4776119402985074,1,1,0
0,251,1,0.3333333333333333,0.6627155803842518,0.3880597014925373,1,0,0
0,342,1,0.0,0.627971957241661,0.13432835820895522,1,1,0
0,264,0,0.3333333333333333,0.4759419960982885,0.19402985074626866,1,0,0
0,249,0,0.3333333333333333,0.0,0.08955223880597013,1,1,0
0,119,0,0.3333333333333333,0.0,0.23880597014925375,0,1,0
0,549,0,0.3333333333333333,0.0,0.10447761194029848,0,0,0
0,318,1,0.3333333333333333,0.0,0.25373134328358204,0,1,0
0,308,1,0.3333333333333333,0.6677463958434494,0.4029850746268656,1,0,0
0,163,0,0.0,0.6186366254039712,0.5970149253731343,1,1,1
0,544,1,0.3333333333333333,0.0,0.08955223880597013,0,1,0
0,732,0,0.0,0.0,0.4029850746268656,1,0,0
0,477,1,0.3333333333333333,0.0,0.08955223880597013,0,1,0
0,568,1,0.3333333333333333,0.0,0.34328358208955223,1,1,0
0,336,0,0.3333333333333333,0.0,0.208955223880597,0,1,0
1,887,0,0.0,0.0,0.29850746268656714,0,1,1
0,665,1,0.3333333333333333,0.0,0.417910447761194,1,0,0
0,225,1,0.0,0.0,0.29850746268656714,0,1,0
0,659,1,0.3333333333333333,0.0,0.10447761194029848,1,0,0
0,236,1,0.0,0.6382905547155884,0.26865671641791045,1,1,0
0,448,0,0.3333333333333333,0.0,0.3880597014925373,1,0,0
0,499,1,0.0,0.659442195961165,0.3731343283582089,0,1,0
0,343,1,0.3333333333333333,0.27850719226435494,0.16417910447761191,1,1,0
0,628,1,0.0,0.39800751081330943,0.26865671641791045,1,0,0
0,611,0,0.3333333333333333,0.513711694348266,0.34328358208955223,1,0,0
0,922,1,0.3333333333333333,0.0,0.35820895522388063,0,1,0
0,276,1,0.3333333333333333,0.0,0.16417910447761191,0,1,0
0,471,1,0.0,0.6776873812439421,0.19402985074626866,1,0,0
0,994,1,0.0,0.35712472899079145,0.22388059701492535,1,0,0
0,944,1,0.0,0.0,0.26865671641791045,1,1,0
0,419,1,0.3333333333333333,0.32820376832029713,0.34328358208955223,1,0,0
0,545,0,0.0,0.0,0.32835820895522383,1,1,0
0,789,1,0.0,0.5478003980089104,0.6417910447761194,0,1,0
0,884,1,0.0,0.727470592538378,0.6417910447761194,0,1,0
0,296,1,0.3333333333333333,0.5104860362843495,0.208955223880597,0,1,0
1,779,1,0.0,0.5227303900181276,0.13432835820895522,0,1,1
1,730,1,0.0,0.6430872637521894,0.31343283582089554,0,1,1
0,960,1,0.0,0.48235524310678357,0.29850746268656714,1,0,0
0,268,0,0.3333333333333333,0.48411799262280186,0.28358208955223885,0,1,0
0,829,0,0.3333333333333333,0.5428738994012324,0.3880597014925373,1,1,0
0,665,0,0.3333333333333333,0.6813764468598016,0.26865671641791045,1,0,0
0,982,0,0.3333333333333333,0.0,0.22388059701492535,0,0,0
1,343,0,0.0,0.5857884338550918,0.34328358208955223,1,0,1
1,225,0,0.0,0.45951535771722635,0.35820895522388063,1,1,1
0,657,1,0.0,0.5841553339501526,0.3731343283582089,1,1,0
0,221,0,0.0,0.5965300370949977,0.4029850746268656,1,1,0
0,406,0,0.0,0.35404374291102614,0.014925373134328346,1,0,0
0,954,1,0.0,0.18981337547311145,0.4925373134328358,1,1,0
0,823,0,0.0,0.6384835128989,0.25373134328358204,1,0,0
0,769,0,0.3333333333333333,0.7106649891372381,0.13432835820895522,0,0,0
0,481,0,0.3333333333333333,0.2616537691973798,0.22388059701492535,1,0,0
0,903,1,0.0,0.3671951307357007,0.5671641791044776,1,1,0
0,882,1,0.0,0.5092974959850142,0.11940298507462688,1,1,0
1,379,1,0.3333333333333333,0.7923203576108567,0.26865671641791045,0,1,0
1,469,0,0.0,0.4741520010360772,0.23880597014925375,0,1,0
1,683,1,0.3333333333333333,0.5746757966616368,0.3731343283582089,1,1,0
1,770,1,0.3333333333333333,0.7031848270672931,0.25373134328358204,0,0,0
0,985,0,0.0,0.45894404100715963,0.04477611940298509,0,1,0
0,259,0,0.0,0.0,0.16417910447761191,1,1,0
0,979,1,0.0,0.7632820171557366,0.28358208955223885,0,0,0
0,988,1,0.3333333333333333,0.7361001994150046,0.10447761194029848,0,1,0
0,833,1,0.3333333333333333,0.0,0.26865671641791045,1,0,0
0,527,0,0.3333333333333333,0.8337799145833467,0.04477611940298509,0,1,0
0,220,1,0.3333333333333333,0.0,0.5522388059701493,1,1,0
0,983,1,0.0,0.0,0.208955223880597,0,1,0
0,582,1,0.0,0.36041201610696977,0.22388059701492535,1,0,0
0,281,0,0.3333333333333333,0.570055483875302,0.34328358208955223,0,1,0
0,798,0,0.3333333333333333,0.45088365144063625,0.23880597014925375,0,0,0
1,917,0,0.0,0.0,0.208955223880597,0,1,1
0,255,0,0.3333333333333333,0.0,0.26865671641791045,0,0,0
0,511,1,0.0,0.42131514251473406,0.23880597014925375,0,1,0
0,498,0,0.3333333333333333,0.0,0.417910447761194,0,1,0
0,651,1,0.3333333333333333,0.0,0.8507462686567163,0,1,0
1,852,0,0.0,0.5676862410364952,0.05970149253731344,1,1,1
0,807,0,0.3333333333333333,0.0,0.17910447761194032,1,1,0
1,470,0,0.6666666666666667,0.0,0.417910447761194,0,1,1
0,659,1,0.3333333333333333,0.38080162181912913,0.14925373134328357,0,1,0
0,559,0,0.3333333333333333,0.553432388310989,0.4029850746268656,1,1,0
0,375,0,0.3333333333333333,0.0,0.26865671641791045,0,1,0
0,411,1,0.3333333333333333,0.0,0.16417910447761191,1,1,0
0,722,1,0.3333333333333333,0.0,0.35820895522388063,1,0,0
0,488,1,0.0,0.4797242750725273,0.34328358208955223,1,0,0
0,965,1,0.3333333333333333,0.4529404102582094,0.16417910447761191,1,1,0
0,289,0,0.3333333333333333,0.0,0.05970149253731344,1,0,0
0,651,1,0.0,0.0,0.32835820895522383,0,1,0
0,520,0,0.3333333333333333,0.0,0.3880597014925373,0,0,0
0,234,0,0.0,0.38570246109391987,0.19402985074626866,1,1,0
0,458,0,0.3333333333333333,0.0,0.26865671641791045,1,1,0
1,299,1,0.3333333333333333,0.4995324869547952,0.417910447761194,0,1,1
0,838,1,0.0,0.4149283012924466,0.208955223880597,1,1,0
0,786,1,0.0,0.4656322161042079,0.26865671641791045,0,0,0
0,509,0,0.0,0.7002329307586168,0.22388059701492535,1,0,0
1,328,0,0.0,0.4331010339498167,0.25373134328358204,1,1,1
0,347,1,0.0,0.4223843902428101,0.17910447761194032,1,0,0
0,534,0,0.3333333333333333,0.5041130511018211,0.31343283582089554,1,1,0
0,709,0,0.0,0.4676453074025403,0.35820895522388063,1,0,0
0,749,1,0.0,0.4954143039863967,0.26865671641791045,1,0,0
1,541,1,0.3333333333333333,0.720679873416446,0.14925373134328357,1,0,1
0,736,1,0.3333333333333333,0.6174628742110456,0.17910447761194032,0,1,0
0,529,0,0.0,0.7831433671837473,0.28358208955223885,0,1,0
0,594,0,0.3333333333333333,0.0,0.34328358208955223,0,1,0
1,462,0,0.0,0.503009839747669,0.19402985074626866,0,1,1
0,429,0,0.3333333333333333,0.863897533233035,0.23880597014925375,1,1,0
0,370,0,0.3333333333333333,0.6038496650477339,0.23880597014925375,1,0,0
0,510,0,0.0,0.5607423590238929,0.31343283582089554,1,0,0
0,638,0,0.3333333333333333,0.0,0.31343283582089554,0,1,0
0,462,1,0.0,0.5896254371883791,0.4477611940298507,0,1,0
0,718,0,0.0,0.0,0.14925373134328357,0,0,0
1,437,0,0.0,0.7119459496882998,0.35820895522388063,1,1,1
1,410,0,0.0,0.6928357649672289,0.5671641791044776,1,1,1
0,666,0,0.3333333333333333,0.0,0.34328358208955223,0,1,0
0,730,0,0.0,0.47505721564700526,0.08955223880597013,1,1,0
0,375,1,0.3333333333333333,0.0,0.23880597014925375,0,1,0
0,411,1,0.0,0.6105168461451471,0.22388059701492535,0,1,0
0,595,1,0.0,0.5718339555643803,0.29850746268656714,1,1,0
0,578,1,0.3333333333333333,0.0,0.10447761194029848,1,0,0
0,377,1,0.3333333333333333,0.5823663652612568,0.31343283582089554,1,1,0
0,831,1,0.3333333333333333,0.6759836948468968,0.4776119402985074,0,1,0
0,497,1,0.0,0.2970134495959262,0.23880597014925375,0,0,0
0,374,1,0.0,0.6226498383741949,0.32835820895522383,1,0,0
0,814,0,0.0,0.9943980544440659,0.4477611940298507,0,1,1
0,965,0,0.0,0.6412598060639628,0.3880597014925373,1,1,0
0,912,1,0.3333333333333333,0.0,0.23880597014925375,1,1,0
0,462,1,0.0,0.5871411938849052,0.3731343283582089,0,1,0
0,402,0,0.0,0.19088467594781847,0.19402985074626866,0,1,1
0,764,1,0.0,0.5279161411946314,0.04477611940298509,0,1,0
0,608,0,0.3333333333333333,0.6452013128620999,0.16417910447761191,0,1,0
0,652,0,0.0,0.49903754175006726,0.28358208955223885,1,0,0
0,520,0,0.0,0.5630200213709586,0.3880597014925373,1,1,0
0,800,0,0.3333333333333333,0.0,0.208955223880597,0,1,0
1,697,0,0.0,0.0,0.4477611940298507,0,1,1
0,427,0,0.3333333333333333,0.0,0.35820895522388063,1,1,0
0,620,0,0.0,0.595341263529,0.28358208955223885,1,1,0
0,318,1,0.3333333333333333,0.0,0.3731343283582089,0,1,0
1,701,0,0.0,0.0,0.582089552238806,1,1,1
0,953,0,0.3333333333333333,0.0,0.22388059701492535,0,0,0
0,635,1,0.3333333333333333,0.0,0.14925373134328357,0,1,0
0,250,1,0.0,0.4537468131108554,0.8208955223880597,0,0,0
0,662,0,0.0,0.5749869277362273,0.22388059701492535,0,0,0
0,666,1,0.0,0.47147974480253885,0.05970149253731344,0,0,0
0,699,0,0.3333333333333333,0.0,0.17910447761194032,1,1,0
0,855,0,0.0,0.5038903280923602,0.4626865671641791,0,0,0
0,534,1,0.3333333333333333,0.0,0.26865671641791045,0,1,0
1,388,0,0.0,0.6237685386347445,0.16417910447761191,1,1,1
0,612,1,0.3333333333333333,0.5840519035119509,0.19402985074626866,1,1,0
1,801,0,0.0,0.5273423052046085,0.08955223880597013,0,1,1
0,561,0,0.0,0.5085830468507694,0.34328358208955223,0,1,0
